date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-09-17,5ea07ccfcc5aed04bc7e4148,11,1,0,""" diner from the eighties, with red leather stools""",,"""the menus had silly names""",,"""hamburguer with no tomatoes""",,"""he didn t liked it""",,"""3 months""",,"""he needs more time to organize his life""",,"""she didn t want to break up because she thought things were fine""",,"""polaroid camera and a poster""",
2020-09-17,58af6fa166d1330001eebaab,11,1,0,""" black and white tiles""",,"""laminated with weird names for all the foods""",,"""burger without tomatoes and a ruben""",,"""sadie throws the ruben on thomas and thomas thought the burger tasted fishy""",,"""a while""",,"""wanting to change career paths""",,"""no they dont want to break up and she says they can adjust how long they hang out""",,"""sade""",
2020-09-17,5eb882738aa2327d047dd79b,11,1,1,"""decorated like a bar with piano type floors and red seats""",,"""crazy item names""",,"""thomas oreder hamburger with no tomato. i forgot about sadie.""",,"""none of them like it.""",,"""  a long time""",,"""need to find careerpath""",,"""no she doesnt. she wants to talk it out""",,"""the girl wants her polaroid""",
2020-09-17,5d6a24c4f186b3001ae5dfeb,11,1,0,"""black and white chequered floor""",,"""extensive """,,"""a burger no tomatoes and a reuben""",,"""he thought it tasted of fish""",,""" a week""",,"""he wanted to focus on his career more""",,"""no she thought it was going well""",,"""sadie a beatles poster and something else i forget""",
2020-09-17,5e3adfc595ff562fbdd130fa,11,1,1,""" Like a diner with checkerboard tiles and a long bar.""",,"""They have silly names for the food.""",,"""Thomas ordered a burger with no tomatoes and Sadie ordered the rueben on the  waiters reccomendation.""",,,,"""2 months""",,"""He is considering changing careers""",,"""Sadie wants to stay together and suggests that they could spend less time together""",,"""Sadie wants her polaroid camera and beatles poster back""",
2020-09-17,5e93138a7d69590115fa1e21,11,1,1,""" muted decor""",,"""laminated with silly names""",,"""burger and ?ruffin?""",,"""burger tasted bitter. Tom did not like it.""",,"""for some months""",,"""he wanted to review his career path""",,"""no she thought everything was going fine. She said they could see less of each other.""",,"""Sadie wants her Polaroid and Beatles poster back.""",
2020-09-17,5d026ba86c626e0019202f6a,11,1,0,""" It was 80s diner""",,"""single sheet that are laminated""",,"""familiar orders I only remeber the Reuben Sadie had""",,"""Thomas did not like the food""",,"""Past couple of months since thinking of job change""",,"""He is going for a job change and doesnt think he will have enough time""",,"""No she thinks they can just change how much they hang out instead of break up""",,"""Sadie wants her polaroid camera and Beatles poster back""",
2020-09-17,5e9fec0f0450b519deaa43a5,11,10,2,"""Like a 1970s diner.""",,"""laminated""",,"""A burger and something I did not recognise.""",,"""She did not eat, and he did not like the burger.""",,""" For a while now.""",,"""Wants to focus on developing career on his own.""",,"""No, she did not, and she was prepared to work on the relationship.""",,"""Beatles poster and polaroid camera.""",
2020-09-17,5ead3fe551c1bb0009b78154,11,1,0,"""well decorated""",,"""ice cream""",,"""different food""",,"""thomas did not like the food because of the sour taste""",,""" 1 to 2years""",,"""thomas want to break up so that he can concentrate on career""",,"""no""",,"""sadie""",
2020-09-17,5d88b1c27250e90001c40cfc,11,1,1,""" 70s style diner, with red and black chairs and booths""",,,,"""burger, not tomato and ruben""",,"""Foul tasting so not well""",,"""two months""",,"""to focus on figuring out his career""",,"""no and they can work on how much time they spend together to give him more time to think about his career """,,"""sadie wants a poster and something else""",
